Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names,Number of Investors,Organization Description,Organization Industries
Seed Round - Cuvva,https://www.crunchbase.com/funding_round/cuvva-seed--4857a07f,"London, England, United Kingdom, Europe",Cuvva,https://www.crunchbase.com/organization/cuvva,Seed,1500000,GBP,1895172,2017-01-25,"Chris Adelsbach, Ian Hogarth, LocalGlobe, Nick Hungerford, Seedcamp, Techstars, Techstars Ventures, Tekton Ventures",8,"Radically better insurance, fit for the future.","Auto Insurance, Finance, Insurance, Mobile Payments"
Seed Round - Kodland,https://www.crunchbase.com/funding_round/kodland-seed--575a684f,"London, England, United Kingdom, Europe",Kodland,https://www.crunchbase.com/organization/kodland,Seed,1500000,USD,1500000,2020-12-17,"Alex Nevinskiy, Alex Turbanov",2,Online digital skills school for kids 6-17 years old.,"E-Learning, Education, Primary Education"
Seed Round - PANGAIA,https://www.crunchbase.com/funding_round/pangaia-seed--e5ae15e0,"London, England, United Kingdom, Europe",PANGAIA,https://www.crunchbase.com/organization/pangaia,Seed,,,,2019-11-01,"Dreamers VC, Material V",2,PANGAIA is a materials science company that offers lifestyle products.,"Fashion, Retail"
Seed Round - Tenzo,https://www.crunchbase.com/funding_round/tenzo-seed--0c9684f4,"London, England, United Kingdom, Europe",Tenzo,https://www.crunchbase.com/organization/tenzo,Seed,1800000,USD,1800000,2018-11-05,"Acequia Capital (AceCap), Force Over Mass Capital, S28 Capital",3,"Bring your entire tech stack together in one place, get meaningful recommendations on how to hit your targets.","Mobile Apps, Restaurants"
Seed Round - dopay,https://www.crunchbase.com/funding_round/dopay-seed--bd570819,"London, England, United Kingdom, Europe",dopay,https://www.crunchbase.com/organization/dopay,Seed,2400000,USD,2400000,2016-01-29,"Chris Adelsbach, Force Over Mass Capital, Techstars, Theo Osborne",4,dopay provides a cloud-based payroll service that allows employers to calculate salaries and make payments electronically.,"Finance, Financial Services, FinTech, Payments"
Seed Round - FlexEarn,https://www.crunchbase.com/funding_round/flexearn-seed--16a8c7e8,"London, England, United Kingdom, Europe",FlexEarn,https://www.crunchbase.com/organization/flexearn,Seed,,,,2019-08-01,,,FlexEarn is a financial service providing company that provides individuals and businesses.,Financial Services
Seed Round - datasine,https://www.crunchbase.com/funding_round/datasine-seed--38066c16,"London, England, United Kingdom, Europe",datasine,https://www.crunchbase.com/organization/datasine,Seed,,,,2016-06-20,Techstars,1,"We empower marketers with intelligent, data-driven insights to improve the performance of creative content.","Artificial Intelligence, Information Technology, Machine Learning"
Seed Round - Zedify,https://www.crunchbase.com/funding_round/zedify-seed--981886e2,"Cambridge, Cambridgeshire, United Kingdom, Europe",Zedify,https://www.crunchbase.com/organization/zedify,Seed,1200000,GBP,1633049,2022-01-19,"British Business Bank, Green Angel Syndicate, One Planet Capital, South East Angels",4,First & Last mile logistics in cities,Logistics
Seed Round - Laka,https://www.crunchbase.com/funding_round/laka-seed--9af7f6d3,"London, England, United Kingdom, Europe",Laka,https://www.crunchbase.com/organization/laka,Seed,,,,2021-12-31,Embryo Ventures,1,Laka is building the leading Green Mobility insurer globally,"InsurTech, Sporting Goods"
Seed Round - Metomic,https://www.crunchbase.com/funding_round/metomic-seed--9566a5eb,"London, England, United Kingdom, Europe",Metomic,https://www.crunchbase.com/organization/metomic,Seed,3000000,GBP,3714361,2020-04-01,"Jeremy Yap, LocalGlobe",2,Metomic is data loss prevention software for the SaaS platform that detects and secures sensitive data in apps.,"Developer APIs, Information Services, Information Technology, Privacy, Software"
Seed Round - Bx,https://www.crunchbase.com/funding_round/bx-seed--7b441341,"Mayfair, Westminster, United Kingdom, Europe",Bx,https://www.crunchbase.com/organization/bx,Seed,2000000,USD,2000000,2017-10-13,,,"Bx is a fully-featured business management SaaS, covering invoicing, payments, expenses, and more.","Accounting, Business Development, Business Information Systems, Business Intelligence, Project Management, SaaS"
Seed Round - Addionics,https://www.crunchbase.com/funding_round/addionics-london-united-kingdom-seed--98dfbf96,"London, England, United Kingdom, Europe",Addionics,https://www.crunchbase.com/organization/addionics-london-united-kingdom,Seed,3500000,USD,3500000,2020-04-01,Nextgear Ventures,1,Addionics is creating next-generation batteries through intelligent 3D battery architecture and engineering.,"3D Technology, Battery, Energy Efficiency, Manufacturing, Product Design"
Seed Round - Daytrip,https://www.crunchbase.com/funding_round/daytrip-seed--08646242,"Marylebone, Essex, United Kingdom, Europe",Daytrip,https://www.crunchbase.com/organization/daytrip,Seed,651600,EUR,733538,2017-06-05,"J&T Ventures, Jaroslav Trojan",2,Daytrip is a platform connecting independent travelers with local drivers.,"Guides, Space Travel, Tourism, Transportation, Travel"
Seed Round - Muzmatch,https://www.crunchbase.com/funding_round/muzmatch-seed--0d0cd9dc,"London, England, United Kingdom, Europe",Muzmatch,https://www.crunchbase.com/organization/muzmatch,Seed,1500000,GBP,2010495,2017-12-27,"Four Cities Capital, Hambro Perks Ltd.",2,Muzmatch is the worlds biggest dating app for Muslims looking for their life partner. Backed by Y Combinator S17.,"Apps, Dating, Mobile Apps"
Seed Round - Multus,https://www.crunchbase.com/funding_round/multus-media-seed--f4cec3f9,"London, England, United Kingdom, Europe",Multus,https://www.crunchbase.com/organization/multus-media,Seed,,,,2022-10-10,,,Multus is an animal free cell production company.,"Agriculture, AgTech, Biotechnology, Food and Beverage, Livestock"
Seed Round - BUMP,https://www.crunchbase.com/funding_round/bump-d27e-seed--aa3d149c,"London, England, United Kingdom, Europe",BUMP,https://www.crunchbase.com/organization/bump-d27e,Seed,1825000,USD,1825000,2018-01-04,"BAM Ventures, Kleiner Perkins, Sinai Ventures, Y Combinator",4,BUMP is a social peer-to-peer marketplace for authentic streetwear and sneakers.,"Apps, E-Commerce, E-Commerce Platforms, Fashion, Marketplace, Mobile Apps, Service Industry, Shopping"
Seed Round - ZigZag Global,https://www.crunchbase.com/funding_round/zigzag-global-seed--ed019076,"London, England, United Kingdom, Europe",ZigZag Global,https://www.crunchbase.com/organization/zigzag-global,Seed,124320,GBP,188311,2015-10-05,Uday Kumar Bangalore Shivaraman,1,ZigZag Global is a software platform that helps retailers manage their returns globally.,"B2B, E-Commerce, Retail, SaaS, Software"
Seed Round - Ohalo,https://www.crunchbase.com/funding_round/ohalo-seed--ac327fe7,"London, England, United Kingdom, Europe",Ohalo,https://www.crunchbase.com/organization/ohalo,Seed,,,,2018-05-04,Patrick Spaulding Ryan Ph.D,1,Ohalo helps automate data governance for modern organizations,"Cyber Security, Machine Learning, Privacy, Security, Software"
Seed Round - RheEnergise,https://www.crunchbase.com/funding_round/rheenergise-seed--94fdf4e9,"London, England, United Kingdom, Europe",RheEnergise,https://www.crunchbase.com/organization/rheenergise,Seed,1278780,GBP,1640471,2022-04-24,Uday Kumar Bangalore Shivaraman,1,RheEnergise is a long-duration energy storage technology company,"CleanTech, Energy, Energy Storage"
Seed Round - Magic Pony Technology,https://www.crunchbase.com/funding_round/magic-pony-technology-seed--66e35eaa,"London, England, United Kingdom, Europe",Magic Pony Technology,https://www.crunchbase.com/organization/magic-pony-technology,Seed,,,,2015-07-01,"7percent Ventures, Yoel Flohr",2,Magic Pony Technology is a technology company that develops machine-learning based approach for visual processing on web and mobile.,"Artificial Intelligence, Computer Vision, Machine Learning, Software, Video Streaming"
Seed Round - Advanced Electric Machines,https://www.crunchbase.com/funding_round/advanced-electric-machines-seed--aca94a0e,"Blaydon, Newcastle upon Tyne, United Kingdom, Europe",Advanced Electric Machines,https://www.crunchbase.com/organization/advanced-electric-machines,Seed,1400000,GBP,1889846,2021-11-18,Northstar Ventures,1,Advanced Electric Machines focuses on the manufacture of world class EV motor and drivetrain systems for Low Carbon Vehicles.,"Automotive, Machinery Manufacturing, Manufacturing"
Seed Round - Shieldpay,https://www.crunchbase.com/funding_round/shieldpay-seed--7e6611f0,"London, England, United Kingdom, Europe",Shieldpay,https://www.crunchbase.com/organization/shieldpay,Seed,6400000,USD,6400000,2017-06-01,"Chris Adelsbach, CreditEase Fintech Investment Fund, Force Over Mass Capital, Hard Yaka, MBU Capital, Techstars, Theo Osborne",7,"Shieldpay is a market leader in digital payment solutions across the legal, financial and merchant services industries.","Finance, Financial Services, FinTech"
Seed Round - Tymit,https://www.crunchbase.com/funding_round/tymit-seed--9f2ff310,"London, England, United Kingdom, Europe",Tymit,https://www.crunchbase.com/organization/tymit,Seed,8000000,GBP,10653158,2020-12-13,"365.fintech, VentureFriends",2,"Tymit is a credit company that offers traditional credit cards and a buy now, pay later service.","Credit, Credit Cards, Financial Services, Payments, Personal Finance"
Seed Round - Curio,https://www.crunchbase.com/funding_round/curio-io-seed--7e053c2c,"London, England, United Kingdom, Europe",Curio,https://www.crunchbase.com/organization/curio-io,Seed,,,,2018-03-21,"500 Global, Julien Codorniou, Marco Valta",3,Listen to the world's best journalism on the go,"Apps, Digital Media"
Seed Round - Bulbshare,https://www.crunchbase.com/funding_round/bulbshare-seed--8799ee29,"London, England, United Kingdom, Europe",Bulbshare,https://www.crunchbase.com/organization/bulbshare,Seed,,,,2020-03-12,"Andrew Izyumov, Ascension, Begin Capital",3,We help the world's leading organisations stay ahead of the game through audience collaboration.,"Advertising, Apps, Big Data, Communities, Market Research, Marketing, Software"
Seed Round - PlanetWatchers,https://www.crunchbase.com/funding_round/planetwatchers-seed--a0b8d4d0,"London, England, United Kingdom, Europe",PlanetWatchers,https://www.crunchbase.com/organization/planetwatchers,Seed,1750000,USD,1750000,2017-07-02,"Aaron Zucker, Bob Zipp, Brian Singer, David Pell, Marcin Kurc, Resolute Ventures, Sapir Venture Partners, Tectonic Capital, ZORA Ventures",9,PlanetWatchers is a geospatial intelligence and enterprise natural resource monitoring service.,"Analytics, Computer Vision, Geospatial, Machine Learning, Natural Resources"
Seed Round - Manual,https://www.crunchbase.com/funding_round/manual-b7ab-seed--14b79974,"London, England, United Kingdom, Europe",Manual,https://www.crunchbase.com/organization/manual-b7ab,Seed,5000000,GBP,6435752,2019-01-15,"Cassius Capital, CASSIUS Family, Cherry Ventures, Felix Capital",4,Manual provides diagnostic tools and testing to help patients make health-related decisions.,"Health Care, Men's, Wellness"
Seed Round - Hullabalook,https://www.crunchbase.com/funding_round/hullabalook-seed--e1b9b981,"London, England, United Kingdom, Europe",Hullabalook,https://www.crunchbase.com/organization/hullabalook,Seed,,,,2020-08-01,Conviction VC,1,Product discovery for eCommerce retailers,"E-Commerce, Internet, SaaS, Software"
Seed Round - Centauri Therapeutics,https://www.crunchbase.com/funding_round/centauri-therapeutics-seed--1323a233,"Sandwich, Kent, United Kingdom, Europe",Centauri Therapeutics,https://www.crunchbase.com/organization/centauri-therapeutics,Seed,3000000,GBP,4248221,2016-01-19,"Animatrix Capital, NCL Technology Ventures, Renaissance Capital Partners",3,Centauri Therapeutics is a UK-based biotechnology company focused on the discovery and development of life threatening diseases.,"Biotechnology, Genetics, Health Care, Medical, Therapeutics"
Seed Round - Ohalo,https://www.crunchbase.com/funding_round/ohalo-seed--f6497794,"London, England, United Kingdom, Europe",Ohalo,https://www.crunchbase.com/organization/ohalo,Seed,,,,2019-12-23,"Ascension, Patrick Spaulding Ryan Ph.D, Wayra",3,Ohalo helps automate data governance for modern organizations,"Cyber Security, Machine Learning, Privacy, Security, Software"
Seed Round - MysteryVibe,https://www.crunchbase.com/funding_round/mysteryvibe-seed--840c69b3,"London, England, United Kingdom, Europe",MysteryVibe,https://www.crunchbase.com/organization/mysteryvibe,Seed,800000,USD,800000,2016-05-01,Startup Sesame,1,"Award Winning Sexual Health Products. Deeply researched, anatomically designed, doctor-endorsed products to make intimacy easy.","Health Care, Personal Health, Product Design, Toys, Wellness"
Seed Round - Zentraxa,https://www.crunchbase.com/funding_round/zentraxa-seed--d129650d,"Bristol, Bristol, City of, United Kingdom, Europe",Zentraxa,https://www.crunchbase.com/organization/zentraxa,Seed,500000,GBP,635950,2019-05-17,"Bristol Private Equity Club, Future Planet Capital",2,"Zentraxa has specialise in the design, production and testing of complex novel peptides.","Biotechnology, Test and Measurement"
Seed Round - Gravity Sketch,https://www.crunchbase.com/funding_round/gravity-2-seed--12f05723,"London, England, United Kingdom, Europe",Gravity Sketch,https://www.crunchbase.com/organization/gravity-2,Seed,,,,2019-12-16,Aerospace Xelerated,1,"Gravity Sketch is a VR-based design and collaboration platform that allows distributed teams to create, share, and build in 3D.","3D Technology, Augmented Reality, Industrial Design, Product Design, Virtual Reality"
Seed Round - Limbic,https://www.crunchbase.com/funding_round/limbic-aa9e-seed--cfe4c37d,"London, England, United Kingdom, Europe",Limbic,https://www.crunchbase.com/organization/limbic-aa9e,Seed,,,,2020-02-01,7percent Ventures,1,"Somos especialistas en marketing digital, desarrollo y diseño web, diseño gráfico, analítica web y posicionamiento en internet.",Software
Seed Round - TOffeeAM,https://www.crunchbase.com/funding_round/toffeeam-seed--b841521d,"London, England, United Kingdom, Europe",TOffeeAM,https://www.crunchbase.com/organization/toffeeam,Seed,,,,2022-01-18,Aerospace Xelerated,1,Multiphysics Generative AI,"Aerospace, Software"
Seed Round - Addionics,https://www.crunchbase.com/funding_round/addionics-london-united-kingdom-seed--1059b12f,"London, England, United Kingdom, Europe",Addionics,https://www.crunchbase.com/organization/addionics-london-united-kingdom,Seed,1000000,USD,1000000,2018-09-01,Aaron Applbaum,1,Addionics is creating next-generation batteries through intelligent 3D battery architecture and engineering.,"3D Technology, Battery, Energy Efficiency, Manufacturing, Product Design"
Seed Round - Animal Dynamics,https://www.crunchbase.com/funding_round/animal-dynamics-seed--53e126a6,"Oxford, Oxfordshire, United Kingdom, Europe",Animal Dynamics,https://www.crunchbase.com/organization/animal-dynamics,Seed,1200000,GBP,1589566,2016-09-15,Kindred Capital,1,"Animal Dynamics Ltd, based in Oxford, UK, is a technology company specialising in the design and manufacture of autonomous vehicles.","Autonomous Vehicles, Drones, Logistics, Machinery Manufacturing, Product Research, Security"
Seed Round - Bricksave,https://www.crunchbase.com/funding_round/bricksave-seed--9928ab07,"London, England, United Kingdom, Europe",Bricksave,https://www.crunchbase.com/organization/bricksave,Seed,300000,GBP,375450,2019-07-08,,,Real Estate Crowdfunding Platform,"Crowdfunding, Real Estate Investment"
Seed Round - Sano Genetics,https://www.crunchbase.com/funding_round/heterogeneous-seed--08d88026,"Cambridge, Cambridgeshire, United Kingdom, Europe",Sano Genetics,https://www.crunchbase.com/organization/heterogeneous,Seed,,,,2022-02-07,Parkwalk Advisors,1,Sano Genetics is a personalised medicine research platform with data privacy and transparency at its core.,"Biotechnology, Health Care, Information Technology, Marketplace, Real Time"
Seed Round - Flexciton,https://www.crunchbase.com/funding_round/flexciton-seed--098be2b8,"London, England, United Kingdom, Europe",Flexciton,https://www.crunchbase.com/organization/flexciton,Seed,820000,GBP,1069100,2017-08-07,"BACKED VC, Charlie Songhurst, Entrepreneur First, Isomer Capital, Join Capital, Nadav Rosenberg, Rob Dobson, Romulus Capital",8,Flexciton is the intelligent advantage platform for streamlined chipmaking,"Artificial Intelligence, Industrial, Industrial Automation, Machine Learning, Manufacturing, Semiconductor, Software"
Seed Round - MQube,https://www.crunchbase.com/funding_round/m-qube-e552-seed--31d9c63d,"Guildford, Surrey, United Kingdom, Europe",MQube,https://www.crunchbase.com/organization/m-qube-e552,Seed,4000000,GBP,5601496,2021-02-25,"AV8 Ventures, IQ Capital, JamJar Investments",3,"MQube is a data-driven mortgage firm that uses AI to deliver mortgages with speed, certainty and control","Artificial Intelligence, Financial Services, FinTech, Lending, Machine Learning"
Seed Round - V7,https://www.crunchbase.com/funding_round/v7-seed--9e572810,"London, England, United Kingdom, Europe",V7,https://www.crunchbase.com/organization/v7,Seed,7000000,USD,7000000,2021-07-01,,,V7 is an AI data engine to assist clients in managing datasets.,"Artificial Intelligence, Image Recognition, Machine Learning, Software"
Seed Round - Ryboquin,https://www.crunchbase.com/funding_round/ryboquin-seed--0789f87b,"Selkirk, Scottish Borders, The, United Kingdom, Europe",Ryboquin,https://www.crunchbase.com/organization/ryboquin,Seed,250000,GBP,420333,2014-05-16,TRICAPITAL,1,Ryboquin uses its expertise to turn under-developed intellectual property ideas into viable commercial realities.,"Commercial, Health Care, Medical, Pharmaceutical"
Seed Round - Fat Llama,https://www.crunchbase.com/funding_round/fat-lama-seed--59e4f3f6,"London, England, United Kingdom, Europe",Fat Llama,https://www.crunchbase.com/organization/fat-lama,Seed,150000,GBP,216203,2016-06-01,,,"Fat Llama is a peer-to-peer rental marketplace which allows people to rent spare items to others nearby, fully insured.","Marketplace, Peer to Peer, Rental, Rental Property"
Seed Round - Easol,https://www.crunchbase.com/funding_round/fixers-seed--fac677fb,"London, England, United Kingdom, Europe",Easol,https://www.crunchbase.com/organization/fixers,Seed,120000,USD,120000,2018-08-18,"AvanTech Ventures, Y Combinator",2,Easol is an online platform that develops event and experience software to market and sell bookings.,"Leisure, Software, Travel"
