search URL:,https://patents.google.com/?assignee=Univ+Sheffield&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9309392-B2,Reinforced polymer composites from recycled plastic ,"Qatar University, The University Of Sheffield","Mariam Alali Almaadeed, Nabil Madi, Alma Hodzic, Saravanan Rajendran",2014-07-18,2014-07-18,2016-04-12,2016-04-12,https://patents.google.com/patent/US9309392B2/en,https://patentimages.storage.googleapis.com/27/d8/30/84dcfeeeef0973/US09309392-20160412-D00001.png
GB-201020516-D0,Improvements in providing image data ,Univ Sheffield,,2010-12-03,2010-12-03,2011-01-19,,https://patents.google.com/patent/GB201020516D0/en,
GB-201011640-D0,Radiation detection and method ,Univ Sheffield,,2010-07-12,2010-07-12,2010-08-25,,https://patents.google.com/patent/GB201011640D0/en,
GB-201103657-D0,Semiconductor devices and fabrication methods ,Univ Sheffield,,2011-03-03,2011-03-03,2011-04-13,,https://patents.google.com/patent/GB201103657D0/en,
EP-2925820-A2,So-gel derived coating to inhibit biofouling and corrosion at a substrate ,"Sheffield Hallam University, King Fahd Univ. of Petroleum&Minerals","Jeanette GITTENS, Heming Wang, Robert Akid, Thomas Smith, Rami Khalid SULEIMAN, Mazan Mohammed KHALED",2012-12-03,2013-11-29,2015-10-07,,https://patents.google.com/patent/EP2925820A2/en,
WO-2010094976-A1,Novel use of polymers ,University Of Sheffield,"Stephen Rimmer, Sheila Macneil, Linda Swanson, Charles William Ian Douglas",2009-02-20,2010-02-19,2010-08-26,,https://patents.google.com/patent/WO2010094976A1/en,
US-2019015028-A1,Improvements in and relating to polymer materials ,"Smith & Nephew Plc, University Of Sheffield","John Kenneth Hicks, Richard Hoskins, Stephen Rimmer, Dorothy Mcculloch",2016-01-14,2017-01-13,2019-01-17,,https://patents.google.com/patent/US20190015028A1/en,https://patentimages.storage.googleapis.com/11/e9/40/fbf833e71476e5/US20190015028A1-20190117-D00000.png
WO-2018109447-A1,Neurotoxins ,The University Of Sheffield,"Bazbek Davletov, Charlotte LEESE",2016-12-12,2017-12-11,2018-06-21,,https://patents.google.com/patent/WO2018109447A1/en,
WO-2014140532-A1,Positive expiratory pressure device with electronic monitoring ,Sheffield Hallam University,"Benjamin Wolf Heller, Martin James WILDMAN",2013-03-15,2014-03-06,2014-09-18,,https://patents.google.com/patent/WO2014140532A1/en,
GB-201203711-D0,Anticorrosion sol-gel coating for metal substrate ,Univ Sheffield Hallam,,2012-03-02,2012-03-02,2012-04-18,,https://patents.google.com/patent/GB201203711D0/en,
GB-2480605-B,Respiration monitoring device ,Univ Sheffield Hallam,"Stuart Mcgrath, Reza Saatchi",2010-05-24,2010-05-24,2013-01-16,2013-01-16,https://patents.google.com/patent/GB2480605B/en,
