search URL:,https://patents.google.com/?assignee=Univ+Bristol&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
GB-201114831-D0,Circuit with error correction ,"Univ Oxford Brookes, Univ Bristol",,2011-08-26,2011-08-26,2011-10-12,,https://patents.google.com/patent/GB201114831D0/en,
US-2017112968-A1,Cell bandage ,The University Of Bristol,"Anthony P. Hollander, Wa'el Z. Kaflenah, Ehsanollah Esfandiari, John F. Tarlton",2004-09-24,2017-01-09,2017-04-27,,https://patents.google.com/patent/US20170112968A1/en,https://patentimages.storage.googleapis.com/ac/5f/ef/82ceb5910b512d/US20170112968A1-20170427-D00001.png
GB-201416787-D0,Photon detector ,Univ Bristol,,2014-09-23,2014-09-23,2014-11-05,,https://patents.google.com/patent/GB201416787D0/en,
GB-201513436-D0,Apparatus for performing fracture reduction ,Univ Bristol,,2015-07-30,2015-07-30,2015-09-16,,https://patents.google.com/patent/GB201513436D0/en,
US-2012244281-A1,Low work function diamond surface and radiation energy converters using same ,The University Of Bristol,"Neil Fox, Tomas Liam Martin, Kane Michael O'Donnell",2010-11-25,2011-11-25,2012-09-27,,https://patents.google.com/patent/US20120244281A1/en,https://patentimages.storage.googleapis.com/b6/c0/26/f2a7aa5ffb79db/US20120244281A1-20120927-D00000.png
US-2018217106-A1,Wireless ultrasound sensor ,The University Of Bristol,"Cheng Huan Zhong, Anthony Croxford, Paul Wilcox",2015-06-22,2017-12-19,2018-08-02,,https://patents.google.com/patent/US20180217106A1/en,https://patentimages.storage.googleapis.com/61/69/6a/3656e859e66199/US20180217106A1-20180802-D00000.png
US-2017214274-A1,Wireless sensor ,The University Of Bristol,"ChengHuan Zhong, Anthony Croxford, Paul Wilcox",2014-07-15,2015-06-30,2017-07-27,,https://patents.google.com/patent/US20170214274A1/en,https://patentimages.storage.googleapis.com/b8/dc/50/d4579056fd294b/US20170214274A1-20170727-D00000.png
US-11302456-B2,Radiation powered devices comprising diamond material and electrical power sources for radiation powered devices ,The University Of Bristol,"Thomas Scott, Neil Fox, Liam PAYNE, Chris HUTSON, Hugo DOMINGUEZ ANDRADE",2017-05-10,2018-05-10,2022-04-12,2022-04-12,https://patents.google.com/patent/US11302456B2/en,https://patentimages.storage.googleapis.com/e9/54/75/3331d4d5dbbc88/US11302456-20220412-D00000.png
GB-2552171-A,Photochemical reactor ,Univ Bristol,"Booker-Milburn Kevin, Elliott Luke",2016-07-11,2016-07-11,2018-01-17,,https://patents.google.com/patent/GB2552171A/en,
GB-201015132-D0,Vaccine composition ,Univ Bristol,,2010-09-10,2010-09-10,2010-10-27,,https://patents.google.com/patent/GB201015132D0/en,
US-2021183648-A1,"Preparing a semiconductor on diamond substrate, and methods for making the same ",The University Of Bristol,"Martin Hermann Hans Kuball, James Wayne Pomeroy, Miichael John Uren, Oliver Aneurin Williams",2018-08-31,2021-02-25,2021-06-17,,https://patents.google.com/patent/US20210183648A1/en,https://patentimages.storage.googleapis.com/70/ee/df/753cf08937633a/US20210183648A1-20210617-D00000.png
GB-201505747-D0,Exosomes ,Univ Bristol,,2015-04-02,2015-04-02,2015-05-20,,https://patents.google.com/patent/GB201505747D0/en,
GB-201601342-D0,Method and device for detecting a smoke gesture ,Univ Bristol,,2016-01-26,2016-01-26,2016-03-09,,https://patents.google.com/patent/GB201601342D0/en,
US-2020124646-A1,Voltage detector and voltage detector system ,The University Of Bristol,"Salah Adami, Plamen Proynov, Bernard Stark, Guang Yang, Chunhong Zhang",2016-04-27,2017-04-27,2020-04-23,,https://patents.google.com/patent/US20200124646A1/en,https://patentimages.storage.googleapis.com/b3/bf/18/15a3e88109f880/US20200124646A1-20200423-D00000.png
