search URL:,https://patents.google.com/?assignee=Univ+Bath&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2904375-A1,Methods and apparatus for the in vitro modelling of drug administration ,The University Of Bath,"Randall Jay MRSNY, Hanne Maarit KINNUNEN",2012-10-04,2013-10-03,2015-08-12,,https://patents.google.com/patent/EP2904375A1/en,
GB-201121655-D0,Substrates for semiconductor devices ,"Element Six Ltd, Univ Bath",,2011-12-16,2011-12-16,2012-01-25,,https://patents.google.com/patent/GB201121655D0/en,
GB-201110557-D0,Substrates for semiconductor devices ,"Element Six Ltd, Univ Bath",,2010-06-25,2011-06-22,2011-08-03,,https://patents.google.com/patent/GB201110557D0/en,
GB-201210229-D0,Method of coding video and audio transmissions ,Univ Bath,,2012-06-11,2012-06-11,2012-07-25,,https://patents.google.com/patent/GB201210229D0/en,
US-2022019011-A1,An enclosure ,University Of Bath,"Ventsislav VALEV, Peter MOSLEY, William Wadsworth, Dimitar SLAVOV, Kristina RUSIMOVA",2018-11-13,2019-11-12,2022-01-20,,https://patents.google.com/patent/US20220019011A1/en,https://patentimages.storage.googleapis.com/fa/fc/26/50d94bd4b45626/US20220019011A1-20220120-D00000.png
GB-201609036-D0,Bone Cement Mixer ,Univ Bath,,2016-05-23,2016-05-23,2016-07-06,,https://patents.google.com/patent/GB201609036D0/en,
EP-2954060-A1,Method of increasing lipid accummulation in metschnikowia pulcherrima cells ,University Of Bath,"Christopher CHUCK, Fabio SANTOMAURO, Roderick Scott",2013-02-07,2014-02-03,2015-12-16,,https://patents.google.com/patent/EP2954060A1/en,
WO-2014041362-A1,Uv radiation cleavable compounds ,University Of Bath,"Ian EGGLESTON, Shararah POURZAND",2012-09-14,2013-09-13,2014-03-20,,https://patents.google.com/patent/WO2014041362A1/en,
GB-201609038-D0,Bone cement mixer ,Univ Bath,,2016-05-23,2016-05-23,2016-07-06,,https://patents.google.com/patent/GB201609038D0/en,
WO-2011064559-A3,Novel inositol phosphate derivatives ,"Queen Mary And Westfield College, University Of London, University Of Bath","Marco Falasca, Andrew Michael Riley, Himali Yasmin Godage, Barry Victor Lloyd Potter",2009-11-30,2010-11-30,2011-09-09,,https://patents.google.com/patent/WO2011064559A3/en,
WO-2017068350-A1,Methods of making metal oxide catalysts ,"University Of Bath, Imperial Innovations Limited",Salvador ESLAVA,2015-10-20,2016-10-20,2017-04-27,,https://patents.google.com/patent/WO2017068350A1/en,
ES-2795997-T3,Structural Analysis of Proteins Based on Red Edge Excitation Displacement Spectroscopy (REES) ,Univ Bath,Christopher Roland Pudney,2016-03-18,2017-03-17,2020-11-25,2020-11-25,https://patents.google.com/patent/ES2795997T3/en,
GB-202204326-D0,Composition ,"Univ Bath, Univ Lancaster",,2022-03-28,2022-03-28,2022-05-11,,https://patents.google.com/patent/GB202204326D0/en,
GB-201317608-D0,Nanospheres ,"Univ Bristol, Univ Bath",,2013-10-04,2013-10-04,2013-11-20,,https://patents.google.com/patent/GB201317608D0/en,
GB-202009403-D0,Electrochemical sensing ,"Univ Bath, Univ Estadual Paulista ""Julio De Mesquita Filho""",,2020-05-13,2020-06-19,2020-08-05,,https://patents.google.com/patent/GB202009403D0/en,
US-2014377836-A1,Crystal ,"University Of Bath, University Of Cape Town","Ravi Acharya, Edward Sturrock",2006-01-10,2014-06-05,2014-12-25,,https://patents.google.com/patent/US20140377836A1/en,https://patentimages.storage.googleapis.com/37/0e/6b/510db7e2045748/US20140377836A1-20141225-D00001.png
GB-201321388-D0,Sensor ,"Univ Exeter, South Devon Healthcare Nhs Foundation Trust, Univ Bath",,2013-12-04,2013-12-04,2014-01-15,,https://patents.google.com/patent/GB201321388D0/en,
WO-2013088162-A1,Antimicrobial compounds and methods ,"Swansea University, University Of Bath","Yamni Nigam, Edward Dudley, Alyson Bexfield, Alison Elisabeth Bond, Russel Peter Newton, Norman Authur RATCLIFFE, Barry Victor Lloyd Potter, Xiangdong Su",2011-12-16,2012-12-14,2013-06-20,,https://patents.google.com/patent/WO2013088162A1/en,
GB-201405954-D0,Materials and methods for analysing phosphorylation of a target polypeptide ,Univ Bath,,2014-04-02,2014-04-02,2014-05-14,,https://patents.google.com/patent/GB201405954D0/en,
GB-202203399-D0,c-jun antagonist peptides ,Univ Bath,,2022-03-11,2022-03-11,2022-04-27,,https://patents.google.com/patent/GB202203399D0/en,
GB-202009007-D0,Modulators of tight junction permeability ,Univ Bath,,2020-06-12,2020-06-12,2020-07-29,,https://patents.google.com/patent/GB202009007D0/en,
GB-2587401-A,"Atomic layer deposition method of metal (II), (0), or (IV) containing film layer ",Univ Bath,"D Parish James, L Johnson Andrew",2019-09-27,2019-09-27,2021-03-31,,https://patents.google.com/patent/GB2587401A/en,
GB-202008031-D0,Therapy ,Univ Bath,,2020-05-28,2020-05-28,2020-07-15,,https://patents.google.com/patent/GB202008031D0/en,
GB-201903057-D0,Novel opiod compounds and their uses ,Univ Bath,,2019-03-07,2019-03-07,2019-04-24,,https://patents.google.com/patent/GB201903057D0/en,
GB-202002173-D0,Micro-organism ,Univ Bath,,2020-02-18,2020-02-18,2020-04-01,,https://patents.google.com/patent/GB202002173D0/en,
GB-201902262-D0,Micro-organism ,Univ Bath,,2019-02-19,2019-02-19,2019-04-03,,https://patents.google.com/patent/GB201902262D0/en,
GB-201423381-D0,"Fibre reinforcement structure, composite material, and methods of their fabrication ",Univ Bath,,2014-12-31,2014-12-31,2015-02-11,,https://patents.google.com/patent/GB201423381D0/en,
GB-2552704-A,Biomolecule preservation ,Univ Bath,"Sartbaeva Asel, Anthony Wells Stephen",2016-08-04,2016-08-04,2018-02-07,,https://patents.google.com/patent/GB2552704A/en,
GB-202001491-D0,Dimerization assay ,Univ Bath,,2020-02-04,2020-02-04,2020-03-18,,https://patents.google.com/patent/GB202001491D0/en,
EP-3746013-A1,Sensor for locating within a urinary drainage bag ,The University Of Bath,"Scarlet MILO, Andrew Tobias JENKINS",2018-01-29,2019-01-28,2020-12-09,,https://patents.google.com/patent/EP3746013A1/en,
CA-3143572-A1,"Bis(2-haloacetamido)-compounds for use as linking agents and resultant products which comprise antibodies, half-antibodies and antibody fragments ","The University Of Bath, Andrew Watts, Bayan ALKHAWAJA","Andrew Watts, Bayan ALKHAWAJA",2019-06-25,2020-06-25,2020-12-30,,https://patents.google.com/patent/CA3143572A1/en,
AU-2020344202-A1,Pacemaker device ,"Ceryx Medical Limited, The University Of Bath","Ashok Singh CHAUHAN, Paul CURZONS, Alain NOGARET, Julian PATON",2019-09-10,2020-09-08,2022-03-10,,https://patents.google.com/patent/AU2020344202A1/en,
GB-201703300-D0,Multiplexed transdermal extraction and detection devices for non-invasive monitoring of substances and methods of use ,Univ Bath,,2017-03-01,2017-03-01,2017-04-12,,https://patents.google.com/patent/GB201703300D0/en,
GB-201702546-D0,Oral delivery compositions ,Univ Bath,,2017-02-16,2017-02-16,2017-04-05,,https://patents.google.com/patent/GB201702546D0/en,
GB-201607802-D0,Biomaterials ,Univ Bath,,2016-05-04,2016-05-04,2016-06-15,,https://patents.google.com/patent/GB201607802D0/en,
GB-201521100-D0,Apparatus ,Univ Bath The And University Of Brighton,,2015-11-30,2015-11-30,2016-01-13,,https://patents.google.com/patent/GB201521100D0/en,
GB-201423382-D0,"Fibre reinforcement structure, composite material, and methods of their fabrication ",Univ Bath,,2014-12-31,2014-12-31,2015-02-11,,https://patents.google.com/patent/GB201423382D0/en,
GB-202008973-D0,Polymers ,Univ Bath,,2020-06-12,2020-06-12,2020-07-29,,https://patents.google.com/patent/GB202008973D0/en,
GB-201902258-D0,Micro-organism ,Univ Bath,,2019-02-19,2019-02-19,2019-04-03,,https://patents.google.com/patent/GB201902258D0/en,
GB-202009710-D0,Cross-linking methods ,Univ Bath,,2020-06-25,2020-06-25,2020-08-12,,https://patents.google.com/patent/GB202009710D0/en,
GB-202012564-D0,Polymerisation processes ,Univ Bath,,2020-08-12,2020-08-12,2020-09-23,,https://patents.google.com/patent/GB202012564D0/en,
GB-202106873-D0,Compounds ,Univ Bath,,2021-05-13,2021-05-13,2021-06-30,,https://patents.google.com/patent/GB202106873D0/en,
GB-202219561-D0,Synthetic cannabinoid detection ,Univ Bath,,2022-12-22,2022-12-22,2023-02-08,,https://patents.google.com/patent/GB202219561D0/en,
GB-202206436-D0,Determining biological parameters of a cell ,Univ Bath,,2022-05-03,2022-05-03,2022-06-15,,https://patents.google.com/patent/GB202206436D0/en,
GB-202001292-D0,"Opposed, free-piston engine ",Univ Bath,,2020-01-30,2020-01-30,2020-03-18,,https://patents.google.com/patent/GB202001292D0/en,
CR-20150081-A,THE DETECTION OF A SPECIFIC PATHOGEN FUNG ,"Malaysian Palm Oil Board Mpob, Univ Bath","Hefni Rusli Mohd, Abu Seman IDRIS, M Cooper Richard, E Wheals Alan",2014-02-18,2015-02-17,2015-09-01,,https://patents.google.com/patent/CR20150081A/en,
GB-201720402-D0,Fluorescent probes ,Univ Bath,,2017-12-07,2017-12-07,2018-01-24,,https://patents.google.com/patent/GB201720402D0/en,
GB-202018980-D0,Sensing apparatus and method ,Univ Bath,,2020-12-02,2020-12-02,2021-01-13,,https://patents.google.com/patent/GB202018980D0/en,
GB-202201188-D0,Particle comprising a virus ,Univ Bath,,2022-01-31,2022-01-31,2022-03-16,,https://patents.google.com/patent/GB202201188D0/en,
GB-201706877-D0,Piezo-electric activated valve ,"Moog Controls Ltd, Univ Bath",,2017-04-28,2017-04-28,2017-06-14,,https://patents.google.com/patent/GB201706877D0/en,
GB-201700962-D0,Piezoresistive sensing ,Univ Bath,,2017-01-20,2017-01-20,2017-03-08,,https://patents.google.com/patent/GB201700962D0/en,
EP-3102694-A1,Methods (AMACR) ,University of Bath,"Matthew Lloyd, Timothy WOODMAN, Maksims JEVGLEVSKIS, Michael Threadgill, Guat LEE",2014-02-03,2015-02-02,2016-12-14,,https://patents.google.com/patent/EP3102694A1/en,
GB-202019318-D0,Gas filters ,Univ Bath,,2020-12-08,2020-12-08,2021-01-20,,https://patents.google.com/patent/GB202019318D0/en,
GB-201915283-D0,Tactile pixels ,Univ Bath,,2019-10-22,2019-10-22,2019-12-04,,https://patents.google.com/patent/GB201915283D0/en,
GB-201802231-D0,Metal oxide deposition ,"Pilkington Group Ltd, Univ Bath",,2015-07-17,2016-07-13,2018-03-28,,https://patents.google.com/patent/GB201802231D0/en,
GB-201622055-D0,Fluorescent probes ,Univ Bath,,2016-12-22,2016-12-22,2017-02-08,,https://patents.google.com/patent/GB201622055D0/en,
