search URL:,https://patents.google.com/?assignee=Univ+Birmingham&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11154550-B2,Treatment for neurodegeneration ,The University Of Birmingham,"Zsuzsanna Nagy, Timothy Barrett",2012-09-27,2013-09-27,2021-10-26,2021-10-26,https://patents.google.com/patent/US11154550B2/en,https://patentimages.storage.googleapis.com/c5/2e/9e/00d3abf49b4355/US11154550-20211026-D00001.png
US-2020371096-A1,Molecular sensor preparations and uses thereof ,The University Of Birmingham,Paula Mendes,2014-02-04,2020-08-07,2020-11-26,,https://patents.google.com/patent/US20200371096A1/en,https://patentimages.storage.googleapis.com/3f/c2/6d/ec2dff183bb533/US20200371096A1-20201126-D00001.png
US-2018071388-A1,Use of vap-1 inhibitors for treating fibrotic conditions ,"Biotie Therapies Corp., The University Of Birmingham","Christopher Weston, Lee Charles Claridge, David Adams, David Smith, Nina WESTERLUND (DECEASED), Marjo Pihlavisto, Thua ÖSTERMAN (DECEASED)",2009-09-08,2017-09-21,2018-03-15,,https://patents.google.com/patent/US20180071388A1/en,https://patentimages.storage.googleapis.com/73/a6/1b/879d3338390ce2/US20180071388A1-20180315-D00001.png
US-2013263699-A1,Magnet Recycling ,The University Of Birmingham,"Ivor Rex Harris, Andrew Williams, Allan Walton, John D. Speight",2010-12-02,2013-05-31,2013-10-10,,https://patents.google.com/patent/US20130263699A1/en,https://patentimages.storage.googleapis.com/96/bd/bb/aa0d650a055742/US20130263699A1-20131010-D00000.png
GB-201101201-D0,Magnet recovery method ,Univ Birmingham,,2011-01-24,2011-01-24,2011-03-09,,https://patents.google.com/patent/GB201101201D0/en,
EP-2502116-A2,Photoresist composition ,The University of Birmingham,"Alex Robinson, Richard Palmer, Jon Andrew Preece",2009-11-18,2010-11-18,2012-09-26,,https://patents.google.com/patent/EP2502116A2/en,
EP-3487879-A2,Inhibitors of the mmrn2 interaction with clec14a and/or cd93 ,The University of Birmingham,"Roy Bicknell, Kabir Ali KHAN",2016-07-25,2017-07-24,2019-05-29,,https://patents.google.com/patent/EP3487879A2/en,
US-2015010703-A1,Spin on Hard-Mask Material ,The University Of Birmingham,"Andreas Frommhold, Alex Robinson, Jedsada Manyam",2012-02-10,2013-01-31,2015-01-08,,https://patents.google.com/patent/US20150010703A1/en,https://patentimages.storage.googleapis.com/73/b1/b2/755b662e09f782/US20150010703A1-20150108-D00000.png
EP-3987170-A1,Fast frequency support from wind turbine systems ,The University of Birmingham,"Xiao-Ping Zhang, Ying XUE, Xianxian Zhao",2019-06-21,2020-06-10,2022-04-27,,https://patents.google.com/patent/EP3987170A1/en,
EP-3123253-A2,Controlled atom source ,The University Of Birmingham,"Ole KOCK, Yeshpal SINGH, Kai BONGS, Wei He",2014-03-24,2015-03-24,2017-02-01,,https://patents.google.com/patent/EP3123253A2/en,
