search URL:,https://patents.google.com/?assignee=Univ+Leeds&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
GB-201807014-D0,Factor xlla inhibitors ,Univ Leeds Innovations Ltd,,2018-04-30,2018-04-30,2018-06-13,,https://patents.google.com/patent/GB201807014D0/en,
CN-103282798-A,Aerosol detection ,"自然环境研究委员会, 大不列颠及北爱尔兰商务创新技巧部, 利兹大学","艾伦·迈克尔·沃尔利, 斯蒂芬·大卫·莫布斯, 詹姆斯·马修·海伍德",2010-09-27,2011-09-19,2013-09-04,,https://patents.google.com/patent/CN103282798A/en,https://patentimages.storage.googleapis.com/23/ed/92/59968a48c53088/HDA00002975577200041.png
US-2021369824-A1,Methods and materials for treating cancer ,"Mayo Foundation For Medical Education And Research, Leeds University","Richard G. Vile, Timothy J. Kottke, Jose S. Pulido, Alan A. Melcher, Peter Selby",2010-02-10,2020-11-04,2021-12-02,,https://patents.google.com/patent/US20210369824A1/en,https://patentimages.storage.googleapis.com/8b/fe/0f/63741633a25861/US20210369824A1-20211202-D00000.png
EP-3652644-A1,Data centre utilisation forecasting system and method ,University of Leeds,"Paul Michael Townend, Jie Xu, Ismael SOLIS MORENO",2017-07-12,2018-07-11,2020-05-20,,https://patents.google.com/patent/EP3652644A1/en,
EP-3359713-A1,Composite fibre ,University of Leeds,"Parikshit GOSWAMI, Timothy Smith, Andrew HEBDEN, Stephen Russell",2015-10-08,2016-10-06,2018-08-15,,https://patents.google.com/patent/EP3359713A1/en,
EP-3747972-A1,A method of inhibiting scale in a geological formation ,University of Leeds,"Nasser GHORBANI, Niall Fleming, Mark Wilson, Nikil KAPUR, Anne Neville",2012-06-07,2013-06-06,2020-12-09,,https://patents.google.com/patent/EP3747972A1/en,https://patentimages.storage.googleapis.com/23/d1/57/e7213bf3de55fe/imgf0001.png
US-2021263040-A1,Method and device for protein preparation ,University Of Leeds,Alexandre Zougman,2013-10-24,2021-04-16,2021-08-26,,https://patents.google.com/patent/US20210263040A1/en,https://patentimages.storage.googleapis.com/9e/14/d2/0a0caf34108051/US20210263040A1-20210826-D00001.png
CN-106471473-A,Mechanism for the too high distribution of server in the minds of in control data ,利兹大学,"I·S·莫雷诺, P·M·汤恩德, P·M·加若凡, 徐洁",2014-05-21,2015-05-19,2017-03-01,,https://patents.google.com/patent/CN106471473A/en,
GB-201101637-D0,Fabric evaluation apparatus and method ,Univ Leeds,,2011-01-31,2011-01-31,2011-03-16,,https://patents.google.com/patent/GB201101637D0/en,
EP-2976112-B1,Improvements in and relating to collagen based materials ,University of Leeds,"Giuseppe TRONCI, Stephen John Russell, David John Wood",2013-03-22,2014-03-21,2022-02-16,2022-02-16,https://patents.google.com/patent/EP2976112B1/en,https://patentimages.storage.googleapis.com/54/2c/19/a29861ef4ebe60/imgf0001.png
EP-2595548-A1,Surgical retraction device and procedure ,"The University Of Leeds, Peter Robert Culmer","Peter Robert Culmer, David George Jayne, Anne Neville",2010-07-23,2011-07-25,2013-05-29,,https://patents.google.com/patent/EP2595548A1/en,
